step	min_distance
0	0.9040806591510773
1	0.853164941072464
2	0.8618295192718506
3	0.9872076511383057
4	0.8335985839366913
5	0.8314202427864075
6	0.8707056641578674
7	0.8618850111961365
8	0.8598653376102448
9	0.8514361083507538
10	0.7020111382007599
11	0.8072053790092468
12	0.8006006181240082
13	0.7508344352245331
14	0.741377517580986
15	0.7754427790641785
16	0.7422609925270081
17	0.7168919891119003
18	0.7037022113800049
19	0.8661468029022217
20	0.7654277384281158
21	0.79559326171875
22	0.6991662532091141
23	0.7629424929618835
24	0.8134730160236359
25	0.8551535308361053
26	0.8082495629787445
27	0.8127464056015015
28	0.8131407499313354
29	0.7121401429176331
30	0.6742894649505615
31	0.8245514929294586
32	0.8541808426380157
33	0.6458805948495865
34	0.8281317055225372
35	0.7437126338481903
36	0.6884676367044449
37	0.8253380656242371
38	0.7238730043172836
39	0.78593909740448
40	0.7374626100063324
41	0.7431808263063431
42	0.8184280693531036
43	0.7575916349887848
44	0.6323401778936386
45	0.7836370170116425
46	0.7769852578639984
47	0.45543428510427475
48	0.14020735025405884
49	0.021096795797348022
50	0.5783108919858932
51	0.4803716167807579
52	0.672651395201683
53	0.34835185110569
54	0.23875397443771362
55	0.45669929683208466
56	0.24379760026931763
57	0.3066617399454117
58	0.7158748507499695
59	0.49398123286664486
60	0.20496904850006104
61	0.42238888144493103
62	0.3802301213145256
63	0.869786262512207
64	0.29189564287662506
65	0.44194547086954117
66	0.28144317865371704
67	0.3433852046728134
68	0.42705073207616806
69	0.1889273226261139
70	0.5433527044951916
71	0.5742847844958305
72	0.09405148029327393
73	0.2907821238040924
74	0.43528004735708237
75	0.12444290518760681
76	0.7309644818305969
77	0.580476351082325
78	0.6303146481513977
79	0.7586487233638763
80	0.9069909751415253
81	0.8037013113498688
82	0.9132241308689117
83	0.9149168431758881
84	0.8974125385284424
85	0.9299704134464264
86	0.8962448835372925
87	0.9163310527801514
88	0.9228118360042572
89	0.9306360483169556
90	0.9149838089942932
91	0.9241394102573395
92	0.8857662379741669
93	0.8513165712356567
94	0.8531862199306488
95	0.858863353729248
96	0.8428638577461243
97	0.8416922986507416
98	0.8426717817783356
99	0.7983995974063873
